scenario,question,level,time_s,method,rho_d_kg_m3,net_inventory_rate_kg_s,local_positive_loss_rate_kg_s,boundary_net_rate_kg_s,water_balance_residual_kg_s,solver_relative_residual
no_latent,Q2,L,120.0,fixed-domain-moisture,650.0,-1.934158223786168e-05,1.934158223786168e-05,-1.9341582272878622e-05,3.501694173881943e-14,3.739984069007532e-11
no_latent,Q2,L,240.0,fixed-domain-moisture,650.0,-1.8429666165329187e-05,1.8429666165329187e-05,-1.8429666172655728e-05,7.326540226284053e-15,6.681222232091302e-12
no_latent,Q2,L,360.0,fixed-domain-moisture,650.0,-1.7729122864419782e-05,1.7729122864419782e-05,-1.7729122865736312e-05,1.316529757390203e-15,1.5984703291020538e-12
no_latent,Q2,L,480.0,fixed-domain-moisture,650.0,-1.715999205003977e-05,1.715999205003977e-05,-1.715999205254528e-05,2.5055099054510643e-15,1.8569165447820855e-12
no_latent,Q2,L,600.0,fixed-domain-moisture,650.0,-1.6685066478358087e-05,1.6685066478358087e-05,-1.6685066483240385e-05,4.882297907973787e-15,3.075550591589194e-12
no_latent,Q2,L,720.0,fixed-domain-moisture,650.0,-1.628054796487719e-05,1.628054796487719e-05,-1.628054797350594e-05,8.62875173873387e-15,4.92395906862081e-12
no_latent,Q2,L,840.0,fixed-domain-moisture,650.0,-1.592345324979442e-05,1.592345324979442e-05,-1.5923453260675432e-05,1.0881012345483054e-14,6.71094914052113e-12
no_latent,Q2,L,960.0,fixed-domain-moisture,650.0,-1.5609385350563534e-05,1.5609385350563534e-05,-1.5609385358644086e-05,8.080552015270887e-15,7.736540041255436e-12
no_latent,Q2,L,1080.0,fixed-domain-moisture,650.0,-1.5326343174867276e-05,1.5326343174867276e-05,-1.532634317635584e-05,1.4885655371093404e-15,1.0509695603594445e-11
no_latent,Q2,L,1200.0,fixed-domain-moisture,650.0,-1.5070137998221169e-05,1.5070137998221169e-05,-1.5070137991271746e-05,-6.949422523441599e-15,1.5770338114044763e-11
no_latent,Q2,L,1320.0,fixed-domain-moisture,650.0,-1.483968230979891e-05,1.483968230979891e-05,-1.4839682296332434e-05,-1.3466475384891347e-14,1.986919555182689e-11
no_latent,Q2,L,1440.0,fixed-domain-moisture,650.0,-1.462580221928618e-05,1.462580221928618e-05,-1.4625802200034674e-05,-1.9251505432664982e-14,2.5176946005837234e-11
no_latent,Q2,L,1560.0,fixed-domain-moisture,650.0,-1.4427668811573443e-05,1.4427668811573443e-05,-1.4427668789892697e-05,-2.168074510341348e-14,2.750618184892535e-11
no_latent,Q2,L,1680.0,fixed-domain-moisture,650.0,-1.4243325162966467e-05,1.4243325162966467e-05,-1.4243325140483467e-05,-2.248300050094413e-14,2.824210525018155e-11
no_latent,Q2,L,1800.0,fixed-domain-moisture,650.0,-1.407423423919849e-05,1.407423423919849e-05,-1.4074234225814115e-05,-1.3384375869445776e-14,1.7200798596179426e-11
no_latent,Q2,L,1920.0,fixed-domain-moisture,650.0,-1.3913282344267778e-05,1.3913282344267778e-05,-1.3913282330358735e-05,-1.390904332356814e-14,1.8765584496486916e-11
no_latent,Q2,L,2040.0,fixed-domain-moisture,650.0,-1.3764795158171547e-05,1.3764795158171547e-05,-1.376479514344142e-05,-1.4730126569450358e-14,1.7946184522402476e-11
no_latent,Q2,L,2160.0,fixed-domain-moisture,650.0,-1.3622535123912351e-05,1.3622535123912351e-05,-1.3622535109078209e-05,-1.4834142215373186e-14,1.7875085728571036e-11
no_latent,Q2,L,2280.0,fixed-domain-moisture,650.0,-1.3488039174093811e-05,1.3488039174093811e-05,-1.3488039159275407e-05,-1.48184043432132e-14,1.7179421784954507e-11
no_latent,Q2,L,2400.0,fixed-domain-moisture,650.0,-1.3364198171294112e-05,1.3364198171294112e-05,-1.3364198156276582e-05,-1.5017529930651426e-14,1.725832929539356e-11
no_latent,Q2,L,2520.0,fixed-domain-moisture,650.0,-1.3245062995457754e-05,1.3245062995457754e-05,-1.3245062980387806e-05,-1.506994771755931e-14,1.755852807752529e-11
no_latent,Q2,L,2640.0,fixed-domain-moisture,650.0,-1.3131079047054369e-05,1.3131079047054369e-05,-1.3131079032084933e-05,-1.4969435399906326e-14,1.7486370393669077e-11
no_latent,Q2,L,2760.0,fixed-domain-moisture,650.0,-1.3020338965026302e-05,1.3020338965026302e-05,-1.3020338950748557e-05,-1.4277744907046676e-14,1.607746175443486e-11
no_latent,Q2,L,2880.0,fixed-domain-moisture,650.0,-1.2915936618697028e-05,1.2915936618697028e-05,-1.291593660777954e-05,-1.0917488972323613e-14,1.4991463283115298e-11
no_latent,Q2,L,3000.0,fixed-domain-moisture,650.0,-1.2812318879504975e-05,1.2812318879504975e-05,-1.2812318868896232e-05,-1.0608743768983527e-14,1.3097666174580341e-11
no_latent,Q2,L,3120.0,fixed-domain-moisture,650.0,-1.2714295981061656e-05,1.2714295981061656e-05,-1.2714295974455213e-05,-6.6064436365052825e-15,1.4117079111043135e-11
no_latent,Q2,L,3240.0,fixed-domain-moisture,650.0,-1.2616009754496352e-05,1.2616009754496352e-05,-1.26160097479019e-05,-6.594451344038056e-15,1.2549565888925174e-11
no_latent,Q2,L,3360.0,fixed-domain-moisture,650.0,-1.2522231007778676e-05,1.2522231007778676e-05,-1.2522231002941068e-05,-4.83760844967665e-15,1.084262498147842e-11
no_latent,Q2,L,3480.0,fixed-domain-moisture,650.0,-1.2429875673153352e-05,1.2429875673153352e-05,-1.2429875670088521e-05,-3.0648311715114965e-15,9.178219648664545e-12
no_latent,Q2,L,3600.0,fixed-domain-moisture,650.0,-1.2342981316963032e-05,1.2342981316963032e-05,-1.2342981316378607e-05,-5.844256285511551e-16,1.189747611501559e-11
no_latent,Q2,L,3720.0,fixed-domain-moisture,650.0,-1.2254050591246737e-05,1.2254050591246737e-05,-1.2254050590899473e-05,-3.4726487364942354e-16,1.0073192509332635e-11
no_latent,Q2,L,3840.0,fixed-domain-moisture,650.0,-1.2168491073804685e-05,1.2168491073804685e-05,-1.2168491074847263e-05,1.0425772793915336e-15,9.810506158882525e-12
no_latent,Q2,L,3960.0,fixed-domain-moisture,650.0,-1.2083222545265413e-05,1.2083222545265413e-05,-1.2083222547166779e-05,1.901365349887829e-15,8.805087443666652e-12
no_latent,Q2,L,4080.0,fixed-domain-moisture,650.0,-1.1999650160009389e-05,1.1999650160009389e-05,-1.1999650162063408e-05,2.0540193217078936e-15,6.375835211077051e-12
no_latent,Q2,L,4200.0,fixed-domain-moisture,650.0,-1.191538623096752e-05,1.191538623096752e-05,-1.1915386235449182e-05,4.48166148831787e-15,7.0953865474581694e-12
no_latent,Q2,L,4320.0,fixed-domain-moisture,650.0,-1.1835678694988238e-05,1.1835678694988238e-05,-1.1835678701813406e-05,6.825167872277077e-15,9.499268898543809e-12
no_latent,Q2,L,4440.0,fixed-domain-moisture,650.0,-1.1753544203769573e-05,1.1753544203769573e-05,-1.175354420760749e-05,3.837916448404602e-15,4.97740589293941e-12
no_latent,Q2,L,4560.0,fixed-domain-moisture,650.0,-1.1671935141299527e-05,1.1671935141299527e-05,-1.1671935147569645e-05,6.270117346336701e-15,6.409044829159667e-12
no_latent,Q2,L,4680.0,fixed-domain-moisture,650.0,-1.159229959537386e-05,1.159229959537386e-05,-1.1592299602736058e-05,7.362198619297565e-15,7.1864662400373895e-12
no_latent,Q2,L,4800.0,fixed-domain-moisture,650.0,-1.1516232673320431e-05,1.1516232673320431e-05,-1.1516232680841174e-05,7.520742858232836e-15,6.951722240468609e-12
no_latent,Q2,L,4920.0,fixed-domain-moisture,650.0,-1.143903560782685e-05,1.143903560782685e-05,-1.1439035616020451e-05,8.193602114609129e-15,7.12269280138217e-12
no_latent,Q2,L,5040.0,fixed-domain-moisture,650.0,-1.1359163677624259e-05,1.1359163677624259e-05,-1.1359163686123447e-05,8.499187885055957e-15,1.4478815060477699e-11
no_latent,Q2,L,5160.0,fixed-domain-moisture,650.0,-1.1283502977058858e-05,1.1283502977058858e-05,-1.1283502985980857e-05,8.921999627270992e-15,7.412493673530343e-12
no_latent,Q2,L,5280.0,fixed-domain-moisture,650.0,-1.120653557980593e-05,1.120653557980593e-05,-1.1206535585036721e-05,5.2307909793967294e-15,4.499022867822574e-12
no_latent,Q2,L,5400.0,fixed-domain-moisture,650.0,-1.1129470955551543e-05,1.1129470955551543e-05,-1.1129470961242376e-05,5.6908332077753795e-15,4.737228027718204e-12
no_latent,Q2,L,5520.0,fixed-domain-moisture,650.0,-1.1051002543347065e-05,1.1051002543347065e-05,-1.1051002550686867e-05,7.339801374106267e-15,5.931081586914819e-12
no_latent,Q2,L,5640.0,fixed-domain-moisture,650.0,-1.0975748682115912e-05,1.0975748682115912e-05,-1.0975748687779932e-05,5.6640195327970974e-15,4.753054246447464e-12
no_latent,Q2,L,5760.0,fixed-domain-moisture,650.0,-1.089968749146879e-05,1.089968749146879e-05,-1.0899687503529767e-05,1.2060976674853341e-14,1.5625710587244388e-11
no_latent,Q2,L,5880.0,fixed-domain-moisture,650.0,-1.0822607504511676e-05,1.0822607504511676e-05,-1.0822607511683641e-05,7.171965183739616e-15,1.079313892389817e-11
no_latent,Q2,L,6000.0,fixed-domain-moisture,650.0,-1.0749302730086606e-05,1.0749302730086606e-05,-1.0749302739092338e-05,9.005732222238869e-15,7.294853667050728e-12
no_latent,Q2,L,6120.0,fixed-domain-moisture,650.0,-1.0675162627916002e-05,1.0675162627916002e-05,-1.0675162632851343e-05,4.935340805196746e-15,9.760241889634037e-12
no_latent,Q2,L,6240.0,fixed-domain-moisture,650.0,-1.0600827097011016e-05,1.0600827097011016e-05,-1.0600827110900757e-05,1.388974113676611e-14,1.716286633065354e-11
no_latent,Q2,L,6360.0,fixed-domain-moisture,650.0,-1.0528416490393744e-05,1.0528416490393744e-05,-1.052841649561202e-05,5.2182752205681e-15,9.653611542631706e-12
no_latent,Q2,L,6480.0,fixed-domain-moisture,650.0,-1.0453546995394302e-05,1.0453546995394302e-05,-1.0453546996392842e-05,9.985400364637825e-16,9.94865368946216e-12
no_latent,Q2,L,6600.0,fixed-domain-moisture,650.0,-1.0379388391735067e-05,1.0379388391735067e-05,-1.0379388397901154e-05,6.166086453820822e-15,9.470749512207627e-12
no_latent,Q2,L,6720.0,fixed-domain-moisture,650.0,-1.0303621346037423e-05,1.0303621346037423e-05,-1.0303621348951772e-05,2.914348992168192e-15,8.896233059883113e-12
no_latent,Q2,L,6840.0,fixed-domain-moisture,650.0,-1.0229504150726635e-05,1.0229504150726635e-05,-1.0229504151183963e-05,4.573283348156473e-16,9.893546535267333e-12
no_latent,Q2,L,6960.0,fixed-domain-moisture,650.0,-1.0156218954319435e-05,1.0156218954319435e-05,-1.0156218962725141e-05,8.405705940865184e-15,1.1195879065628699e-11
no_latent,Q2,L,7080.0,fixed-domain-moisture,650.0,-1.0083681136315114e-05,1.0083681136315114e-05,-1.0083681136633856e-05,3.1874188618358223e-16,9.897068727668909e-12
no_latent,Q2,L,7200.0,fixed-domain-moisture,650.0,-1.0013016132624061e-05,1.0013016132624061e-05,-1.0013016135099205e-05,2.4751437742919977e-15,8.625778532803722e-12
