question,scenario,baseline,delta_final_max_C,delta_final_mean_C,delta_event_time_s,latent_product_Lv_scale,mass_closure
Q2,no_latent,no_latent,0.0,0.0,,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,nominal_proxy,no_latent,0.7703687954993896,0.43190428106048984,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,low_proxy,no_latent,0.5832630184714136,0.24653663814247828,,1200000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,high_proxy,no_latent,0.797617992492065,0.6532160527549169,,4800000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,same_product_scale_double,no_latent,0.7703687954993896,0.43190428106048984,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,same_product_Lv_double,no_latent,0.7703687954993896,0.43190428106048984,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,component_bound_low,no_latent,0.7703687954993896,0.43190428106048984,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,component_bound_nominal,no_latent,0.7630331632877339,0.41398234411611945,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q2,component_bound_high,no_latent,0.7655690519727536,0.41804568172851386,,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,no_latent,no_latent,0.0,0.0,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,nominal_proxy,no_latent,-2.5584521862798137e-05,-0.0002089582416131136,27780.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,low_proxy,no_latent,3.5272576640321684e-06,-8.93439367116583e-05,13500.0,1200000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,high_proxy,no_latent,0.002731437797076214,0.0015262273459708126,,4800000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,same_product_scale_double,no_latent,-2.5584521862798137e-05,-0.0002089582416131136,27780.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,same_product_Lv_double,no_latent,-2.5584521862798137e-05,-0.0002089582416131136,27780.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,component_bound_low,no_latent,-2.5584521862798137e-05,-0.0002089582416131136,27780.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,component_bound_nominal,no_latent,-5.653247061135347e-05,-0.00023025001563607705,27360.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q3,component_bound_high,no_latent,-9.3650795689737e-06,-0.00019722735273948466,27540.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,no_latent,no_latent,0.0,0.0,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,nominal_proxy,no_latent,-9.103448797076474e-05,-0.0005169962668389178,59820.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,low_proxy,no_latent,4.587762473334811e-06,-0.000244838523046062,30000.0,1200000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,high_proxy,no_latent,0.028600187280773848,0.0173313013565055,,4800000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,same_product_scale_double,no_latent,-9.103448797076474e-05,-0.0005169962668389178,59820.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,same_product_Lv_double,no_latent,-9.103448797076474e-05,-0.0005169962668389178,59820.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,component_bound_low,no_latent,-9.103448797076474e-05,-0.0005169962668389178,59820.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,component_bound_nominal,no_latent,-3.5819979043727468e-06,-0.0004605529914804146,59400.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
Q4,component_bound_high,no_latent,-5.868145664011948e-05,-0.0004962658517999458,59580.0,2400000.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved
