scenario,scenario_label,question,level,time_level,refinement_axis,nr,nz,dt_s,duration_s,status,runtime_s,final_max_C,final_mean_C,reported_event_time_s,interpolated_event_time_s,candidate_temperature_range_C,max_linear_relative_residual,normalized_moisture_balance_error,latent_integral_J_est,latent_peak_power_W,latent_mass_closure,proxy_scale,L_v_J_per_kg,latent_product_Lv_scale,water_balance_max_abs_kg_s,proxy_boundary_loss_max_kg_s,water_trace_count,max_physical_heat_balance_relative,max_physical_heat_balance_residual_J
no_latent,无潜热内部温度基线,Q2,L,M,space,8,8,120.0,10800.0,PASS,1.110904200002551,1.747467002968668,1.3317969571077535,,,22.716743534518002,4.991382555916751e-11,1.8104417363850388e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.501694173881943e-14,0.0,90,9.069040861842126e-06,0.0015565567446742534
no_latent,无潜热内部温度基线,Q2,M,M,space,12,12,120.0,10800.0,PASS,1.6711412000004202,1.7521286817753359,1.3289469129341325,,,22.719344785421583,4.997637220100312e-11,1.1907291556946114e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.2564808461572545e-14,0.0,90,1.3030436366467946e-05,0.0014290918569770383
no_latent,无潜热内部温度基线,Q2,H,M,space,18,18,120.0,10800.0,PASS,2.465285499987658,1.7542889589164772,1.3276096402772173,,,22.72053744747359,4.9975550376287486e-11,1.4218520327240844e-09,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,3.6017357106228436e-14,0.0,90,1.4327095345434415e-05,0.0013829536652849583
no_latent,无潜热内部温度基线,Q3,L,M,space,8,8,300.0,259200.0,PASS,7.112738800002262,0.14992704178577806,0.12385711894245327,221460.0,221421.80744961643,22.842651357761326,4.9999621078094855e-11,6.073196069621298e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,2.274024779515705e-14,0.0,739,4.67749136818231e-05,0.029140788519953276
no_latent,无潜热内部温度基线,Q3,M,M,space,12,12,300.0,259200.0,PASS,10.088242800004082,0.14998767519012757,0.12293712186947013,213000.0,212959.23122233478,22.844686212981742,4.99921512405976e-11,5.244440944998348e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.3638277383517042e-14,0.0,710,4.4263758131546974e-05,0.026236911177647926
no_latent,无潜热内部温度基线,Q3,H,M,space,18,18,300.0,259200.0,PASS,15.174084500002209,0.14996303530515817,0.12227334112784088,209880.0,209873.75777823443,22.845635082157855,4.999374167857987e-11,5.530091723131503e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.4158657156860405e-14,0.0,700,4.3192491321976446e-05,0.025078790762222525
no_latent,无潜热内部温度基线,Q4,L,M,space,8,8,300.0,259200.0,PASS,6.977490099990973,0.14998392270181696,0.1176974131851493,189600.0,189569.09284688224,22.458760950641647,4.9996099592114124e-11,9.181828046372556e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,2.509453182633712e-14,0.0,632,7.759287132030505e-05,0.042258998986788754
no_latent,无潜热内部温度基线,Q4,M,M,space,12,12,300.0,259200.0,PASS,9.747180999998818,0.14995157868849326,0.11697932131519771,186540.0,186505.58574063616,22.460187436557135,4.998334951278612e-11,8.713009116533804e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,2.138733289048459e-14,0.0,622,5.861615565849506e-05,0.03215896712286792
no_latent,无潜热内部温度基线,Q4,H,M,space,18,18,300.0,259200.0,PASS,14.26244060001045,0.14993357109210512,0.1165772630529344,185280.0,185271.21771387104,22.46087546086534,4.999435814368251e-11,5.447690782634866e-10,0.0,0.0,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,0.0,2400000.0,0.0,1.576305783763856e-14,0.0,618,4.714537015859898e-05,0.025880322062761252
nominal_proxy,名义等效潜热近似,Q2,L,M,space,8,8,120.0,10800.0,PASS,1.0795879999932367,2.5151222314000705,1.769579345601608,,,34.00651660435847,4.9854116687019994e-11,1.0652815107049057e-09,188591.8613779148,46.42273801908125,FAIL: proxy derives from total C loss but no liquid/vapor/bound-water phase inventory is solved,1.0,2400000.0,2400000.0,2.633526229934343e-14,1.934280750795052e-05,90,0.0007550166743735508,3.396367366223785
