model,bound_fraction,release_tau_s,question,time_s,dt_s,L_v_J_per_kg,surface_gasification_rate_kg_s,latent_power_W,cumulative_latent_energy_J,outer_gasification_max_kg_m2_s,z0_gasification_max_kg_m2_s,z1_gasification_max_kg_m2_s,liquid_inventory_kg,bound_inventory_kg,release_to_liquid_kg_s,heat_boundary_in_W,heat_solver_relative_residual,latent_enabled
M0,0.0,0.0,Q2,120.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579989070237277,0.0,0.0,0.40138900289528706,4.709473696479238e-11,False
M0,0.0,0.0,Q2,240.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2557604472802435,0.0,0.0,0.6375399451110877,4.597338150263573e-11,False
M0,0.0,0.0,Q2,360.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2536115786176324,0.0,0.0,0.9905702149800514,3.743576264641606e-11,False
M0,0.0,0.0,Q2,480.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2515344557510122,0.0,0.0,1.165238160994033,2.2096489721511474e-11,False
M0,0.0,0.0,Q2,600.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24951701871920684,0.0,0.0,1.41378280334752,3.296216125387421e-11,False
M0,0.0,0.0,Q2,720.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24755031507185327,0.0,0.0,1.6353535651169142,2.3016375749656282e-11,False
M0,0.0,0.0,Q2,840.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24562821751647448,0.0,0.0,1.7748023482772401,2.7304890223327008e-11,False
M0,0.0,0.0,Q2,960.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24374521296338503,0.0,0.0,1.930864703697712,3.222005329155593e-11,False
M0,0.0,0.0,Q2,1080.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24189730402536408,0.0,0.0,2.0837241443350374,2.363633929188414e-11,False
M0,0.0,0.0,Q2,1200.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2400810273040058,0.0,0.0,2.170816510100927,2.5080470012714007e-11,False
M0,0.0,0.0,Q2,1320.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23829312945250544,0.0,0.0,2.2766275472165347,2.7787630653078904e-11,False
M0,0.0,0.0,Q2,1440.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2365314847676668,0.0,0.0,2.309734086851998,2.8494184117070147e-11,False
M0,0.0,0.0,Q2,1560.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23479410703817338,0.0,0.0,2.3139968560928184,2.8478820224294752e-11,False
M0,0.0,0.0,Q2,1680.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23307927987313787,0.0,0.0,2.3062150915128896,2.8304466009797604e-11,False
M0,0.0,0.0,Q2,1800.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23138517366845016,0.0,0.0,2.4104973094136652,3.2750313230377164e-11,False
M0,0.0,0.0,Q2,1920.0,120.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22971075427311743,0.0,0.0,2.352494483019903,3.035408415240626e-11,False
