model,bound_fraction,release_tau_s,question,time_s,dt_s,rho_d_kg_m3,liquid_inventory_old_kg,bound_inventory_old_kg,liquid_inventory_new_kg,bound_inventory_new_kg,total_inventory_old_kg,total_inventory_new_kg,delta_total_inventory_kg,boundary_net_in_kg_s,expected_delta_from_boundary_kg,water_balance_residual_kg,release_to_liquid_kg_s,liquid_min_C,bound_min_C,total_min_C,phase_split_residual_C,dry_solid_inventory_relative_error,solver_relative_residual
M0,0.0,0.0,Q2,120.0,120.0,650.0,0.26035949116625406,0.0,0.2579989070237277,0.0,0.26035949116625406,0.2579989070237277,-0.0023605841425263785,-1.9671534534123682e-05,-0.0023605841440948417,1.5684632412305e-12,0.0,2.270901958892713,0.0,2.270901958892713,0.0,0.0,1.503515923253396e-11
M0,0.0,0.0,Q2,240.0,120.0,650.0,0.2579989070237277,0.0,0.2557604472802435,0.0,0.2579989070237277,0.2557604472802435,-0.002238459743484189,-1.8653831228087777e-05,-0.0022384597473705335,3.88634437131774e-12,0.0,2.0801484718227754,0.0,2.0801484718227754,0.0,0.0,3.5115526239710925e-11
M0,0.0,0.0,Q2,360.0,120.0,650.0,0.2557604472802435,0.0,0.2536115786176324,0.0,0.2557604472802435,0.2536115786176324,-0.002148868662611103,-1.7907238859527155e-05,-0.0021488686631432586,5.321554828741082e-13,0.0,1.935790124545611,0.0,1.935790124545611,0.0,0.0,5.035227610427885e-12
M0,0.0,0.0,Q2,480.0,120.0,650.0,0.2536115786176324,0.0,0.2515344557510122,0.0,0.2536115786176324,0.2515344557510122,-0.002077122866620207,-1.7309357224050717e-05,-0.002077122866886086,2.6587933243948925e-13,0.0,1.8200948272883908,0.0,1.8200948272883908,0.0,0.0,7.2230921562455215e-12
M0,0.0,0.0,Q2,600.0,120.0,650.0,0.2515344557510122,0.0,0.24951701871920684,0.0,0.2515344557510122,0.24951701871920684,-0.002017437031805347,-1.6811975267030842e-05,-0.002017437032043701,2.3835404136529625e-13,0.0,1.7246670677064466,0.0,1.7246670677064466,0.0,0.0,9.988578172674778e-12
M0,0.0,0.0,Q2,720.0,120.0,650.0,0.24951701871920684,0.0,0.24755031507185327,0.0,0.24951701871920684,0.24755031507185327,-0.0019667036473535737,-1.6389197061264657e-05,-0.0019667036473517588,-1.8149544367407344e-15,0.0,1.6444211406352651,0.0,1.6444211406352651,0.0,0.0,1.4793263974306205e-11
M0,0.0,0.0,Q2,840.0,120.0,650.0,0.24755031507185327,0.0,0.24562821751647448,0.0,0.24755031507185327,0.24562821751647448,-0.0019220975553787822,-1.6017479625855704e-05,-0.0019220975551026845,-2.7609772107473063e-13,0.0,1.5758501766378015,0.0,1.5758501766378015,0.0,0.0,2.004696276627847e-11
M0,0.0,0.0,Q2,960.0,120.0,650.0,0.24562821751647448,0.0,0.24374521296338503,0.0,0.24562821751647448,0.24374521296338503,-0.0018830045530894568,-1.569170460529534e-05,-0.0018830045526354409,-4.540159481009054e-13,0.0,1.5166578087155458,0.0,1.5166578087155458,0.0,0.0,2.285879532501805e-11
M0,0.0,0.0,Q2,1080.0,120.0,650.0,0.24374521296338503,0.0,0.24189730402536408,0.0,0.24374521296338503,0.24189730402536408,-0.001847908938020948,-1.539924114445482e-05,-0.0018479089373345785,-6.863693641223634e-13,0.0,1.4652085866366065,0.0,1.4652085866366065,0.0,0.0,2.7611897771181886e-11
M0,0.0,0.0,Q2,1200.0,120.0,650.0,0.24189730402536408,0.0,0.2400810273040058,0.0,0.24189730402536408,0.2400810273040058,-0.0018162767213582842,-1.513563932787969e-05,-0.0018162767193455628,-2.012721369779036e-12,0.0,1.419980386549099,0.0,1.419980386549099,0.0,0.0,2.522046796811661e-11
