candidate,model,case,duration_s,nr,nz,dt_s,seed,runtime_s,converged,constraint_violations,normalized_moisture_balance_error,final_center_C,final_surface_C,final_mean_C,final_center_T_C,final_surface_T_C,min_C,max_C,h_mult,hm_mult,d_prefactor_mult,d_exponent_mult,command_contract
M1,M1,coarse,1800.0,6,1,4.0,20260911,0.09064999999827705,True,,5.483056983790799e-15,2.5495109787451926,1.4990057581617717,2.3061013772637766,33.58656966456192,36.79306116601208,1.9407002059186564,2.5495109787451926,1.0,1.0,1.0,1.0,python run.py
M1,M1,base,1800.0,10,1,2.0,20260911,0.28037010000116425,True,,4.795875343868226e-15,2.5499051674330455,1.5087649509369903,2.2981392115458896,33.57869678718981,36.78784163650187,1.78633090290712,2.5499051674330455,1.0,1.0,1.0,1.0,python run.py
M1,M1,fine,1800.0,14,1,1.0,20260911,0.7442215999981272,True,,4.41384066257056e-15,2.5499599644282305,1.5098279610157135,2.295886867322926,33.577077888911276,36.78673624915666,1.7125376904079508,2.5499599644282305,1.0,1.0,1.0,1.0,python run.py
M2,M2_Q1,coarse,1800.0,6,8,4.0,20260911,0.17734850000124425,True,,1.7176635267438415e-15,2.549510977738806,1.4990057576198934,2.2988504989839997,33.58689417811763,36.79324225611475,1.9168078438632967,2.549510977738806,1.0,1.0,1.0,1.0,python run.py
M2,M2_Q1,base,1800.0,10,12,2.0,20260911,0.5079200000036508,True,,2.6414950542602545e-15,2.549905167432737,1.5087649509368455,2.288699287308923,33.57874014070029,36.787865794478535,1.7428858235489173,2.549905167432737,1.0,1.0,1.0,1.0,python run.py
M2,M2_Q1,fine,1800.0,14,16,1.0,20260911,1.4773735999988276,True,,4.22899730073052e-15,2.5499599644282305,1.5098279610157135,2.284779949443451,33.57708874514299,36.78674229632378,1.646723903631344,2.5499599644282305,1.0,1.0,1.0,1.0,python run.py
M2,M2_Q2,q2_constant_baseline,10800.0,10,12,2.0,20260911,2.1040146999948774,True,,2.544699041723476e-15,2.158432474591371,0.8662762673607938,1.465039414986091,50.19263333333333,50.19499999999999,0.8468807064604021,2.158432474591371,1.0,1.0,1.0,1.0,python run.py
M3,M3,base,10800.0,10,12,2.0,20260911,2.1492351000051713,True,,1.4000394915647118e-15,1.7267370021978048,0.9959596852356161,1.317490945064788,50.19263333333333,50.19499999999999,0.8724886135085761,1.7267370021978048,1.0,1.0,1.0,1.0,python run.py
M3,M3,time_refined,10800.0,10,12,1.0,20260911,4.211976099999447,True,,1.2180548868253694e-14,1.726757164910184,0.9959765376609147,1.3175117178402027,50.19381666666669,50.19499999999999,0.8725130819251885,1.726757164910184,1.0,1.0,1.0,1.0,python run.py
M3,M3,low_drying,10800.0,10,12,2.0,20260911,2.276029100001324,True,,2.6279894433099764e-15,1.954216571362912,1.119182608894049,1.499425703356228,50.19263333333333,50.19499999999999,1.0187219392373557,1.954216571362912,0.8,0.8,0.8,1.2,python run.py
M3,M3,high_drying,10800.0,10,12,2.0,20260911,2.066552900003444,True,,2.9682177834260903e-15,1.5164125294301907,0.8880911341507457,1.1547697495064633,50.19263333333333,50.19499999999999,0.7500138618371166,1.5164125294301907,1.2,1.2,1.2,0.8,python run.py
M4,M4,base,10800.0,10,12,2.0,20260911,3.793945999997959,True,,1.426245748784385e-16,1.7653494396655773,1.0086790829516554,1.340137427514771,49.85075954871513,49.96729264859954,0.8879769299387524,1.7653494396655773,1.0,1.0,1.0,1.0,python run.py
M4,M4,time_refined,10800.0,10,12,1.0,20260911,6.474403100000927,True,,4.706681020365789e-15,1.7653698708727563,1.0086913491119518,1.3401554338592583,49.85069153561801,49.96726604736483,0.8879978188913326,1.7653698708727563,1.0,1.0,1.0,1.0,python run.py
M4,M4,low_drying,10800.0,10,12,2.0,20260911,3.3373621000064304,True,,1.8494928625496867e-15,2.002631383879047,1.1283622253995966,1.5237092128781091,49.68970985232073,49.84246869486395,1.0342123406820865,2.002631383879047,0.8,0.8,0.8,1.2,python run.py
M4,M4,high_drying,10800.0,10,12,2.0,20260911,3.213525600003777,True,,0.0,1.5477566383101224,0.9018106447982663,1.175449509389662,49.91883335060743,50.02170419482678,0.7644041535335092,1.5477566383101224,1.2,1.2,1.2,0.8,python run.py
