scope,family,metric,base,fine,absolute_change
Q1,M1,final_max_C,2.5499783536426905,2.5499868781704347,8.524527744135924e-06
Q1,M1,final_mean_C,2.2939783161437464,2.2937456474502906,0.00023266869345572871
Q1,M2,final_max_C,2.5499638900298036,2.5499819135147668,1.8023484963158865e-05
Q1,M2,final_mean_C,2.275778652022081,2.275326629728889,0.00045202229319185605
Q1,M1-vs-M2,final_mean_C,2.2939783161437464,2.275778652022081,0.018199664121665293
Q2,M3,final_max_C,1.7261442647518213,1.726040858268251,0.000103406483570323
Q3,M3,t_star_time,209280,209160,120
Q3,M3,t_star_space,209280,212340,3060
Q4,moving-domain,t_star_implementation,185040,185040,0
Q4,moving-domain,t_star_time,185040,184950,90
Q4,moving-domain,t_star_space,185040,187020,1980
Q4,moving-domain,t_star_ablation,185040,187020,1980
Q4,constant-radius-regression,final_max_C,1.410251649455245,1.410251649455245,0.0
