scope,family,nr,nz,grid_strategy,fixed_dt_s,metric,value,adjacent_change
Q1,M1,81,1,two-sided-local,0.5,final_max_C,2.5499912970758025,
Q1,M1,81,1,two-sided-local,0.5,final_mean_C,2.293600559346259,
Q1,M1,122,1,two-sided-local,0.5,final_max_C,2.5499918486590554,5.515832528502074e-07
Q1,M1,122,1,two-sided-local,0.5,final_mean_C,2.293580557001432,2.000234482713026e-05
Q1,M1,183,1,two-sided-local,0.5,final_max_C,2.54999208604702,2.373879648409627e-07
Q1,M1,183,1,two-sided-local,0.5,final_mean_C,2.2935717980486228,8.758952809273524e-06
Q1,M2,62,54,two-sided-local,0.5,final_max_C,2.54999058031691,
Q1,M2,62,54,two-sided-local,0.5,final_mean_C,2.2750685088526623,
Q1,M2,93,54,two-sided-local,0.5,final_max_C,2.549991536865617,9.565487073537327e-07
Q1,M2,93,54,two-sided-local,0.5,final_mean_C,2.2750348485276963,3.3660324965989474e-05
Q1,M2,140,54,two-sided-local,0.5,final_max_C,2.549991951771023,4.1490540558797306e-07
Q1,M2,140,54,two-sided-local,0.5,final_mean_C,2.275019795585558,1.5052942138549241e-05
Q2,M3,62,36,two-sided-local,5,final_max_C,1.7277178063454934,
Q2,M3,62,36,two-sided-local,5,final_mean_C,1.306353614132549,
Q2,M3,93,36,two-sided-local,5,final_max_C,1.7278063805739579,8.857422846442198e-05
Q2,M3,93,36,two-sided-local,5,final_mean_C,1.3063198242928986,3.3789839650300024e-05
Q2,M3,140,36,two-sided-local,5,final_max_C,1.7278463919704832,4.001139652531904e-05
Q2,M3,140,36,two-sided-local,5,final_mean_C,1.3063047136786867,1.5110614211888418e-05
