label,runtime_s,max_cg_iterations,max_linear_relative_residual,max_picard_iterations,normalized_moisture_balance_error,max_terminal_picard_update,dry_solid_inventory_relative_error,geometry_relative_error,max_local_dry_continuity_relative_residual,threshold_bracket,interpolated_event_time_s,reported_event_time_s,final_time_s,final_max_C,final_mean_C
Q1-M1-coarse,10.240054000008968,28,4.9996390276784306e-11,3,4.4252626287639696e-08,6.648815542575903e-08,0.0,0.0,0.0,,,,1800.0,2.5499912970758025,2.293600559346259
Q1-M1-base,15.315465799998492,42,4.999615356992021e-11,3,9.645160999057141e-08,4.2689066503953654e-08,0.0,0.0,0.0,,,,1800.0,2.5499918486590554,2.293580557001432
Q1-M1-fine,30.086194899995462,63,4.9995740438180226e-11,3,8.687083278001059e-08,1.829147322496283e-08,0.0,0.0,0.0,,,,1800.0,2.54999208604702,2.2935717980486228
Q1-M2-coarse,21.8899126000033,25,4.99987130174039e-11,4,4.2536815724998697e-08,9.773737019713735e-08,0.0,0.0,0.0,,,,1800.0,2.54999058031691,2.2750685088526623
Q1-M2-base,39.29640459999791,36,4.9998325219837896e-11,3,6.496901320066503e-08,9.576461934557301e-08,0.0,0.0,0.0,,,,1800.0,2.549991536865617,2.2750348485276963
Q1-M2-fine,59.973593699993216,50,4.9992999911394836e-11,3,9.215998036922258e-08,5.224092092248611e-08,0.0,0.0,0.0,,,,1800.0,2.549991951771023,2.275019795585558
Q2-M2-constant,1.5919461000012234,10,4.999544809633026e-11,2,1.5737064458751897e-10,2.7333801000395397e-08,0.0,0.0,0.0,,,,10800,2.1599687487421537,1.4468102241413285
Q2-M3-nr62,11.482160400002613,26,4.9999218690001176e-11,4,1.9644477401960812e-08,9.977351833612147e-08,0.0,0.0,0.0,,,,10800,1.7277178063454934,1.306353614132549
Q2-M3-nr93,17.940387299997383,38,4.9999470944265604e-11,4,1.73216374726961e-08,9.999142158712004e-08,0.0,0.0,0.0,,,,10800,1.7278063805739579,1.3063198242928986
Q2-M3-nr140,43.53915139999299,58,4.999780067616151e-11,4,1.5534471461919677e-08,9.964594127609416e-08,0.0,0.0,0.0,,,,10800,1.7278463919704832,1.3063047136786867
