scope,factor,level,value,t_star_s,final_max_C,final_mean_C
Q2,h_mult,low,0.8,,1.7241296023572463,1.308307215280107
Q2,h_mult,high,1.2,,1.7241296023572463,1.308307215280107
Q2,hm_mult,low,0.8,,1.8230066287396691,1.4443266789532165
Q2,hm_mult,high,1.2,,1.6439945097770545,1.201306271945807
Q2,pref,low,0.8,,1.8456364140805226,1.354401249134117
Q2,pref,high,1.2,,1.6349050380993744,1.2739011562316935
Q2,exponent,low,0.8,,1.6971464823108786,1.297163978996801
Q2,exponent,high,1.2,,1.7514005730955347,1.3198237316164816
Q3,terminal_window_s,1800,1800,214980,0.14999173563492446,0.1233336729695692
Q3,terminal_window_s,3600,3600,215100,0.14998665101487793,0.12333037314245125
Q3,terminal_window_s,7200,7200,215340,0.1499897522300951,0.1233433947659855
Q3,h_mult,low,0.8,215100,0.14998665101487793,0.12333037314245125
Q3,h_mult,high,1.2,215100,0.14998665101487793,0.12333037314245125
Q3,hm_mult,low,0.8,220260,0.14998863807644097,0.12321562334224986
Q3,hm_mult,high,1.2,212040,0.14999757285043205,0.12341416150114284
Q3,pref,low,0.8,259200,0.1511005312211113,0.12421895852860797
Q3,pref,high,1.2,182700,0.1499966236852776,0.12324487777194373
Q3,exponent,low,0.8,134040,0.14998895671025553,0.11888557571364408
Q3,exponent,high,1.2,259200,0.16831502841766244,0.14068487190262605
Q3,combined_boundary_empirical,low,"(0.8, 0.8, 0.8, 1.2)",259200,0.1824933498937684,0.15091520614175385
Q3,combined_boundary_empirical,high,"(1.2, 1.2, 1.2, 0.8)",111780,0.14999138078926708,0.11888765543531322
Q4,radius_interpolation,pchip,pchip,187020,0.14999122961486405,0.11732524106004073
Q4,radius_interpolation,linear,linear,187020,0.14999755402307355,0.1173293922196993
Q4,terminal_window_s,1800,1800,186960,0.14997865109158617,0.11731679268397308
Q4,terminal_window_s,3600,3600,187020,0.14999122961486405,0.11732524106004073
Q4,terminal_window_s,7200,7200,187200,0.14999407504506732,0.11732679054591405
Q4,h_mult,low,0.8,187020,0.14999122961486405,0.11732524106004073
Q4,h_mult,high,1.2,187020,0.14999122961486405,0.11732524106004073
Q4,hm_mult,low,0.8,189180,0.14997966584444178,0.11729864080652737
Q4,hm_mult,high,1.2,185880,0.14998384998506542,0.11733348989675486
Q4,pref,low,0.8,228780,0.14998112380660977,0.11734716715174152
Q4,pref,high,1.2,159360,0.14999119771028988,0.11729799300597285
Q4,exponent,low,0.8,139860,0.1499498611940211,0.11370557999771995
Q4,exponent,high,1.2,257400,0.1499986765493936,0.12056669105282442
Q4,combined_boundary_empirical,low,"(0.8, 0.8, 0.8, 1.2)",259200,0.16697673404235358,0.13227430824063421
Q4,combined_boundary_empirical,high,"(1.2, 1.2, 1.2, 0.8)",118680,0.1499429605180954,0.11368121586578125
