model,time_s,max_C,mean_C
M2 常物性,0.0,2.55,2.5500000000000003
M2 常物性,600.0,2.549999996710499,2.4421400613444213
M2 常物性,1200.0,2.549996288070952,2.3501131621883986
M2 常物性,1800.0,2.549885811674343,2.2670038435745217
M2 常物性,2400.0,2.5491085984196005,2.190426042141566
M2 常物性,3000.0,2.5464852588803963,2.1190323903411388
M2 常物性,3600.0,2.5406277344631096,2.0519486651707473
M2 常物性,4200.0,2.530436330838123,1.988533835821312
M2 常物性,4800.0,2.5153165677233806,1.9283206503136439
M2 常物性,5400.0,2.4951530704152534,1.8709407050882263
M2 常物性,6000.0,2.4701819429969096,1.8160980612205595
M2 常物性,6600.0,2.4408542797740616,1.7635573251907322
M2 常物性,7200.0,2.4077274277670258,1.713118754181076
M2 常物性,7800.0,2.371390067077595,1.664614104671969
M2 常物性,8400.0,2.33241565802564,1.6179034016703657
M2 常物性,9000.0,2.2913364095327466,1.5728692421653143
M2 常物性,9600.0,2.2486308844203964,1.5294068572187192
M2 常物性,10200.0,2.204720119663973,1.487416988887355
M2 常物性,10800.0,2.1599687487421537,1.4468102241413285
M3 主路线,0.0,2.55,2.5499999999999994
M3 主路线,600.0,2.5499999999877594,2.440988941915198
M3 主路线,1200.0,2.5499951585732856,2.345588817770481
M3 主路线,1800.0,2.5494233883351223,2.2568310984031954
M3 主路线,2400.0,2.5437373083733856,2.1728015007658366
M3 主路线,3000.0,2.5248987496149464,2.092633116895559
M3 主路线,3600.0,2.4891381780489157,2.015939164189749
M3 主路线,4200.0,2.438509813434148,1.9424363613517976
M3 主路线,4800.0,2.37760147340115,1.8719676376934515
M3 主路线,5400.0,2.3108920436608127,1.8043682746872387
M3 主路线,6000.0,2.241429991879634,1.7395105821882073
M3 主路线,6600.0,2.171295336107352,1.6772466242698463
M3 主路线,7200.0,2.10204397552153,1.61750183241379
M3 主路线,7800.0,2.034601944726743,1.560179142164381
M3 主路线,8400.0,1.968894377394561,1.5051559807884964
M3 主路线,9000.0,1.9053891436214214,1.452349652744185
M3 主路线,9600.0,1.8439671214464903,1.4016618541640948
M3 主路线,10200.0,1.7848166707665658,1.3530100541079593
M3 主路线,10800.0,1.7278463919704832,1.3063047136786867
M4 温度耦合消融,0.0,2.55,2.5500000000000003
M4 温度耦合消融,600.0,2.5499999964918914,2.442100245596101
M4 温度耦合消融,1200.0,2.5499950582858255,2.3492097991768452
M4 温度耦合消融,1800.0,2.5498014303470082,2.263827262405051
M4 温度耦合消融,2400.0,2.54803867436542,2.1834139303125335
M4 温度耦合消融,3000.0,2.5408036973846464,2.1067000193843795
M4 温度耦合消融,3600.0,2.5226625875165847,2.033028864385941
M4 温度耦合消融,4200.0,2.489800374117659,1.962018713475615
M4 温度耦合消融,4800.0,2.442014234099126,1.8934796660444921
M4 温度耦合消融,5400.0,2.3820960609137645,1.8272875466586396
M4 温度耦合消融,6000.0,2.3140726280678,1.7633725097629624
M4 温度耦合消融,6600.0,2.2417031349200167,1.701674889496522
M4 温度耦合消融,7200.0,2.1679059136540872,1.6421603917166736
M4 温度耦合消融,7800.0,2.0947033040477256,1.5847914632201503
M4 温度耦合消融,8400.0,2.0233769514143165,1.5295301597757671
M4 温度耦合消融,9000.0,1.9545051500381796,1.4763323836752866
M4 温度耦合消融,9600.0,1.88838724875702,1.4251496367215977
M4 温度耦合消融,10200.0,1.82507133671364,1.3759216322563395
M4 温度耦合消融,10800.0,1.7645199232311275,1.3285855566073943
