model,ntrain,seed,split,rmse,mae,max_abs,relative_l2,negative_count,train_s,inference_s
pod_graph_random_feature,18,20260911,test,0.000629800823466845,0.0003029289601713261,0.0027230438606518637,0.005070127960287911,0,0.00029749999521300197,6.349999845648806e-07
pod_graph_random_feature,18,20260911,extrapolation,0.0007426717131995291,0.0004844198119207314,0.0033528622030933736,0.006018924032538047,0,0.00029749999521300197,6.349999845648806e-07
pod_graph_random_feature,18,20260912,test,0.0009470756660698764,0.0005331579106224467,0.004746193468071799,0.007624306981081551,0,0.00020590001076925546,6.608332720740388e-07
pod_graph_random_feature,18,20260912,extrapolation,0.0008468018697915434,0.0005796811500237529,0.0032929507422873594,0.006862838632871342,0,0.00020590001076925546,6.608332720740388e-07
pod_graph_random_feature,18,20260913,test,0.0011111298722933653,0.0006065957573736391,0.0061825008534869275,0.008945003599732984,0,0.00016789999790489674,5.208334187045694e-07
pod_graph_random_feature,18,20260913,extrapolation,0.0005147211344207378,0.00035242273101764623,0.0020748973821737293,0.004171516635086768,0,0.00016789999790489674,5.208334187045694e-07
pod_graph_random_feature,36,20260911,test,0.0005515551534311789,0.0002509837219276908,0.002292109720270552,0.004440221576178241,0,0.0001680999994277954,5.033334067168956e-07
pod_graph_random_feature,36,20260911,extrapolation,0.0005167017857779495,0.00034643985467296313,0.0024595139195468796,0.004187568667017057,0,0.0001680999994277954,5.033334067168956e-07
pod_graph_random_feature,36,20260912,test,0.0005224928427552224,0.000271980246212663,0.0022450114733462423,0.004206259300394558,0,0.0001672000071266666,5.05833425753129e-07
pod_graph_random_feature,36,20260912,extrapolation,0.0005210226379444397,0.0003616091181557065,0.0022510466418236424,0.0042225866709126,0,0.0001672000071266666,5.05833425753129e-07
pod_graph_random_feature,36,20260913,test,0.0005435663834777632,0.0002778590569377567,0.002450833004850994,0.0043759090437078,0,0.0001736999984132126,6.900000395641352e-07
pod_graph_random_feature,36,20260913,extrapolation,0.0005619702596697298,0.000418363492588198,0.0024480486949337438,0.004554443425515304,0,0.0001736999984132126,6.900000395641352e-07
pod_graph_random_feature,72,20260911,test,0.00046277373947606386,0.00024831497510607756,0.0021098978380420658,0.0037254985836456325,0,0.00019370000518392771,5.049999648084243e-07
pod_graph_random_feature,72,20260911,extrapolation,0.0006034749634373945,0.00042527115585475213,0.002658734352777928,0.004890815007373915,0,0.00019370000518392771,5.049999648084243e-07
pod_graph_random_feature,72,20260912,test,0.0005268344573522361,0.0002722230781749422,0.0021389610397527375,0.004241210892613731,0,0.00020599999697878957,5.133333615958691e-07
pod_graph_random_feature,72,20260912,extrapolation,0.0005850735261835351,0.0004390356144294342,0.0022157039778530896,0.004741682017720465,0,0.00020599999697878957,5.133333615958691e-07
pod_graph_random_feature,72,20260913,test,0.0005890680096190313,0.00035782111711802077,0.002290179498230127,0.004742213847292351,0,0.0001900000061141327,5.008332664147019e-07
pod_graph_random_feature,72,20260913,extrapolation,0.0006460193848353354,0.0004518957648864881,0.00254766667870987,0.0052356128983549795,0,0.0001900000061141327,5.008332664147019e-07
