question,time_s,radius_cm,temperature_C,C_kg_per_kg
Q2,1800,0,32.196773076109366,2.549924463547072
Q2,1800,0.5,32.38939607971167,2.548824546002458
Q2,1800,1.0,32.97278544249906,2.525281841779223
Q2,1800,1.5,33.966737977014134,2.325673897716898
Q2,1800,2.0,35.41765568734718,1.6490349673270694
Q2,3600,0,40.38187469147857,2.525442373326271
Q2,3600,0.5,40.55369055646025,2.494490227012624
Q2,3600,1.0,41.06046121549133,2.357636860865201
Q2,3600,1.5,41.87854812472614,2.023095556907267
Q2,3600,2.0,42.99829019581824,1.471313430055202
Q2,5400,0,45.84421387794214,2.3857437987347105
Q2,5400,0.5,45.932287361869214,2.3254153344386093
Q2,5400,1.0,46.19063057217852,2.1343684422320006
Q2,5400,1.5,46.60279590089124,1.8021347947425055
Q2,5400,2.0,47.137918513830755,1.347680051839183
Q2,7200,0,48.4490941085034,2.1707276570759366
Q2,7200,0.5,48.48689786216096,2.1083724124798415
Q2,7200,1.0,48.59734968430888,1.9236501187018595
Q2,7200,1.5,48.77258479542223,1.6260249942797222
Q2,7200,2.0,49.002508869102655,1.2311671261389636
Q2,9000,0,49.46698152292606,1.9566389785564244
Q2,9000,0.5,49.47916439481543,1.9006272510402142
Q2,9000,1.0,49.51360146916886,1.7360349846838816
Q2,9000,1.5,49.5661329286566,1.4720641996730153
Q2,9000,2.0,49.66239133991695,1.1167172910373913
Q2,10800,0,49.85041848738251,1.7662268347493226
Q2,10800,0.5,49.85622277528171,1.7166032296493305
Q2,10800,1.0,49.875347882089386,1.5702718976280579
Q2,10800,1.5,49.91080292362801,1.3333440682385558
Q2,10800,2.0,49.96703036150927,1.0081937692093783
