time_s,radius_cm,C_kg_per_kg
100,0.0,2.55
100,0.5,2.55
100,1.0,2.55
100,1.5,2.549999864874037
100,2.0,2.246980917207292
300,0.0,2.55
300,0.5,2.55
300,1.0,2.549999996894103
300,1.5,2.549151057880485
300,2.0,2.0507414465134315
600,0.0,2.5499999999999985
600,0.5,2.5499999994726354
600,1.0,2.54998649699247
600,1.5,2.535165238163521
600,2.0,1.876856505758
900,0.0,2.5499999998806606
900,0.5,2.54999972483116
900,1.0,2.549667283235188
900,1.5,2.504448503177411
900,2.0,1.7546086242899397
1200,0.0,2.5499999723406472
1200,0.5,2.549991981395501
1200,1.0,2.548141640260257
1200,1.5,2.4645020830359745
1200,2.0,1.658457957964582
1500,0.0,2.5499991714768457
1500,0.5,2.5499332899014964
1500,1.0,2.544484766383392
1500,1.5,2.420567824380617
1500,2.0,1.5786299833805366
1800,0.0,2.549991536865617
1800,0.5,2.5497121955042914
1800,1.0,2.538233919541549
1800,1.5,2.375446187853651
1800,2.0,1.510148298805948
