model,time_s,mean_C
M1 一维基线,0,2.55
M1 一维基线,60,2.538632274507077
M1 一维基线,120,2.527868693263898
M1 一维基线,180,2.51748008239019
M1 一维基线,240,2.507384658820929
M1 一维基线,300,2.497535229872454
M1 一维基线,360,2.487900043873869
M1 一维基线,420,2.478456171027643
M1 一维基线,480,2.469185950953803
M1 一维基线,540,2.460075308305732
M1 一维基线,600,2.451112603159739
M1 一维基线,660,2.442287627039451
M1 一维基线,720,2.433591742672188
M1 一维基线,780,2.425017846443253
M1 一维基线,840,2.416559939064655
M1 一维基线,900,2.408212328362733
M1 一维基线,960,2.399969164027979
M1 一维基线,1020,2.391825841055223
M1 一维基线,1080,2.38377897118164
M1 一维基线,1140,2.375824440911609
M1 一维基线,1200,2.367958901885105
M1 一维基线,1260,2.360179039558544
M1 一维基线,1320,2.352481372879013
M1 一维基线,1380,2.344864043929307
M1 一维基线,1440,2.337324029096041
M1 一维基线,1500,2.329858535933452
M1 一维基线,1560,2.322465720405399
M1 一维基线,1620,2.315143388061389
M1 一维基线,1680,2.30788960019613
M1 一维基线,1740,2.300702535071529
M1 一维基线,1800,2.293580557001432
M2 二维主干,0,2.55
M2 二维主干,60,2.537730487283057
M2 二维主干,120,2.526118853574216
M2 二维主干,180,2.514917719063611
M2 二维主干,240,2.504038446359085
M2 二维主干,300,2.493429785334957
M2 二维主干,360,2.483057197991308
M2 二维主干,420,2.472895702871655
M2 二维主干,480,2.462926032512387
M2 二维主干,540,2.453132810912029
M2 二维主干,600,2.443503307996957
M2 二维主干,660,2.43402635319272
M2 二维主干,720,2.424692485340047
M2 二维主干,780,2.415493908573966
M2 二维主干,840,2.40642402793858
M2 二维主干,900,2.397476587702651
M2 二维主干,960,2.38864516874076
M2 二维主干,1020,2.379924702762306
M2 二维主干,1080,2.371311440077057
M2 二维主干,1140,2.362800852958943
M2 二维主干,1200,2.354389244423903
M2 二维主干,1260,2.346072957888557
M2 二维主干,1320,2.337848161363194
M2 二维主干,1380,2.329712778059793
M2 二维主干,1440,2.321663475843726
M2 二维主干,1500,2.313697175819088
M2 二维主干,1560,2.305811825194711
M2 二维主干,1620,2.298004995528222
M2 二维主干,1680,2.290274536777804
M2 二维主干,1740,2.282618427370534
M2 二维主干,1800,2.275034848527696
