scope,factor,level,value,t_star_s,final_max_C,final_mean_C,scenario,time_h,display_h,crossed
Q3,terminal_window_s,1800,1800,214980.0,0.1499917356349244,0.1233336729695692,terminal_window_s-1800,59.71666666666667,59.71666666666667,True
Q3,terminal_window_s,3600,3600,215100.0,0.1499866510148779,0.1233303731424512,terminal_window_s-3600,59.75,59.75,True
Q3,terminal_window_s,7200,7200,215340.0,0.1499897522300951,0.1233433947659855,terminal_window_s-7200,59.81666666666667,59.81666666666667,True
Q3,h_mult,low,0.8,215100.0,0.1499866510148779,0.1233303731424512,h_mult-low,59.75,59.75,True
Q3,h_mult,high,1.2,215100.0,0.1499866510148779,0.1233303731424512,h_mult-high,59.75,59.75,True
Q3,hm_mult,low,0.8,220260.0,0.1499886380764409,0.1232156233422498,hm_mult-low,61.18333333333333,61.18333333333333,True
Q3,hm_mult,high,1.2,212040.0,0.149997572850432,0.1234141615011428,hm_mult-high,58.9,58.9,True
Q3,pref,low,0.8,259200.0,0.1511005312211113,0.1242189585286079,pref-low,72.0,72.0,True
Q3,pref,high,1.2,182700.0,0.1499966236852776,0.1232448777719437,pref-high,50.75,50.75,True
Q3,exponent,low,0.8,134040.0,0.1499889567102555,0.118885575713644,exponent-low,37.233333333333334,37.233333333333334,True
Q3,exponent,high,1.2,259200.0,0.1683150284176624,0.140684871902626,exponent-high,72.0,72.0,True
