scope,factor,level,value,t_star_s,interpolated_t_star_s,final_max_C,final_mean_C,crossed,guard_s,solver_label
Q3,terminal_window_s,30 min,1800,214980.0,214953.25727399805,0.14999173563492446,0.1233336729695692,True,2592000,Q3-dense-terminal_window_s-30 min
Q3,terminal_window_s,45 min,2700,215100.0,215080.18592005986,0.14999362102046074,0.12333522205383432,True,2592000,Q3-dense-terminal_window_s-45 min
Q3,terminal_window_s,60 min,3600,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-terminal_window_s-60 min
Q3,terminal_window_s,90 min,5400,215040.0,215010.30852086234,0.14999093720899728,0.1233328162115015,True,2592000,Q3-dense-terminal_window_s-90 min
Q3,terminal_window_s,120 min,7200,215340.0,215305.881206327,0.1499897522300951,0.1233433947659855,True,2592000,Q3-dense-terminal_window_s-120 min
Q3,h_mult,0.8x,0.8,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-h_mult-0.8x
Q3,h_mult,0.9x,0.9,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-h_mult-0.9x
Q3,h_mult,1.0x,1.0,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-h_mult-1.0x
Q3,h_mult,1.1x,1.1,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-h_mult-1.1x
Q3,h_mult,1.2x,1.2,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-h_mult-1.2x
Q3,hm_mult,0.8x,0.8,220260.0,220221.97589725256,0.14998863807644097,0.12321562334224986,True,2592000,Q3-dense-hm_mult-0.8x
Q3,hm_mult,0.9x,0.9,217320.0,217266.89394506507,0.1499845604053475,0.1232775007810469,True,2592000,Q3-dense-hm_mult-0.9x
Q3,hm_mult,1.0x,1.0,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-hm_mult-1.0x
Q3,hm_mult,1.1x,1.1,213360.0,213358.97578779163,0.14999872227626476,0.12338063861256171,True,2592000,Q3-dense-hm_mult-1.1x
Q3,hm_mult,1.2x,1.2,212040.0,212034.73015293197,0.14999757285043205,0.12341416150114284,True,2592000,Q3-dense-hm_mult-1.2x
Q3,pref,0.8x,0.8,264240.0,264200.2505199322,0.1499903949258012,0.12342381369014149,True,2592000,Q3-dense-pref-0.8x
Q3,pref,0.9x,0.9,236880.0,236821.63311059325,0.14998476442436437,0.12337469508935185,True,2592000,Q3-dense-pref-0.9x
Q3,pref,1.0x,1.0,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-pref-1.0x
Q3,pref,1.1x,1.1,197400.0,197354.0447136497,0.14998525721837838,0.12328325545021798,True,2592000,Q3-dense-pref-1.1x
Q3,pref,1.2x,1.2,182700.0,182692.72964699665,0.1499966236852776,0.12324487777194373,True,2592000,Q3-dense-pref-1.2x
Q3,exponent,0.8x,0.8,134040.0,134023.31428933697,0.14998895671025553,0.11888557571364408,True,2592000,Q3-dense-exponent-0.8x
Q3,exponent,0.9x,0.9,168060.0,168042.35543116485,0.1499918746034944,0.12119231099836285,True,2592000,Q3-dense-exponent-0.9x
Q3,exponent,1.0x,1.0,215100.0,215054.50701514498,0.14998665101487793,0.12333037314245125,True,2592000,Q3-dense-exponent-1.0x
Q3,exponent,1.1x,1.1,280020.0,279966.99821828306,0.14998930571474284,0.12530253140440153,True,2592000,Q3-dense-exponent-1.1x
Q3,exponent,1.2x,1.2,369720.0,369690.7605725541,0.14999538969771767,0.12711461015135583,True,2592000,Q3-dense-exponent-1.2x
