time_s,radius_cm,C_kg_per_kg
1800,0.0,2.5494233883351223
1800,0.5,2.545980600825174
1800,1.0,2.5073028917976385
1800,1.5,2.2961295209735844
1800,2.0,1.7207673413655455
3600,0.0,2.489138178048916
3600,0.5,2.4492365699712844
3600,1.0,2.3039957961186306
3600,1.5,2.003178903568483
3600,2.0,1.5306256587773135
5400,0.0,2.3108920436608127
5400,0.5,2.254971838437377
5400,1.0,2.0828333452579977
5400,1.5,1.7886003651200386
5400,2.0,1.37466981173245
7200,0.0,2.10204397552153
7200,0.5,2.046708898167786
7200,1.0,1.8815654656725995
7200,1.5,1.609932794294075
7200,2.0,1.2354608467254642
9000,0.0,1.9053891436214212
9000,0.5,1.8542061608280955
9000,1.0,1.7021945530097682
9000,1.5,1.453299799770723
9000,2.0,1.1086372727703195
10800,0.0,1.7278463919704832
10800,0.5,1.6810426047840146
10800,1.0,1.5420009121958758
10800,1.5,1.3137942488907863
10800,2.0,0.995602983526158
