time_s,max_C,mean_C,center_C,surface_C
0,2.55,2.55,2.55,2.51818485612154
60,2.550000000000001,2.539011000323274,2.55,2.141836273291542
120,2.550000000000001,2.5288628917543496,2.5500000000000003,1.974728257501312
180,2.550000000000001,2.5192739705051848,2.5499999999999994,1.8638538312803017
240,2.550000000000001,2.5101097156646146,2.5500000000000007,1.7794555361193412
300,2.5500000000000007,2.501264301876316,2.5500000000000003,1.715430009813724
360,2.5500000000000007,2.492690105439133,2.55,1.6608001010809188
420,2.5500000000000007,2.4843434858320625,2.5500000000000003,1.6146898791098652
480,2.5500000000000007,2.4762020834986744,2.5500000000000003,1.5730648506151996
540,2.5500000000000007,2.4682299383260315,2.5499999999999994,1.5384497393490704
600,2.5500000000000007,2.4604097790860937,2.5500000000000003,1.5072855679433057
660,2.5500000000000007,2.452715873434826,2.55,1.4809729019003897
720,2.5500000000000007,2.445143762405003,2.5500000000000003,1.4557113889432112
780,2.5500000000000007,2.43767791615913,2.5500000000000007,1.4335290634543283
840,2.5500000000000007,2.4303159415294884,2.55,1.412074340803518
900,2.550000000000001,2.423048631272996,2.5500000000000007,1.3923273472671234
960,2.550000000000001,2.4158605001487685,2.5500000000000007,1.375358071450838
1020,2.550000000000001,2.4087551681446357,2.5500000000000003,1.3580141678256936
1080,2.550000000000001,2.40171294738808,2.5500000000000007,1.3445541431669918
1140,2.5500000000000007,2.394736223705489,2.5499999999999994,1.3304871972999577
1200,2.550000000000001,2.3878197796523044,2.550000000000001,1.3177750311110314
1260,2.55,2.380964868030799,2.5499999999999994,1.3045711184649076
1320,2.549999999999998,2.3741568839409464,2.5499999999999954,1.2942202097732638
1380,2.54999999999999,2.3673998872921658,2.5499999999999887,1.2834936881736174
1440,2.54999999999997,2.36069079924464,2.54999999999997,1.2729397027622782
1500,2.5499999999999194,2.354035743230143,2.5499999999999194,1.2615844878114133
1560,2.549999999999796,2.34742344323282,2.549999999999796,1.2522717479039085
1620,2.549999999999503,2.3408590923658603,2.549999999999503,1.242121372450666
1680,2.5499999999988385,2.3343357937114533,2.5499999999988385,1.23326714062237
1740,2.549999999997348,2.327845094551797,2.549999999997348,1.226051830461781
1800,2.5499999999941414,2.3213890392257275,2.5499999999941414,1.2185565174418485
1860,2.549999999987417,2.314964469660936,2.549999999987417,1.2116269614824793
