kind,model,material,angle_deg,window,mask,q_um,status,diagnostic,relative_error,threshold,pass_recovery,runtime_s
synthetic,B,CAL,,W1,na,6.721366879454917,OK_CONDITIONAL,0.02262681688861432,0.34427337589098334,2.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.07247346761820812,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,6.838320070777329,OK_CONDITIONAL,0.04396528400924312,0.36766401415546585,2.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.09657124118324467,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,8.413065101402111,OK_CONDITIONAL,0.14283119844045106,0.6826130202804223,2.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.17596081128408936,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,8.543825213439325,OK_CONDITIONAL,0.15060466637432124,0.708765042687865,2.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.17990165018446885,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,3527.55237994083,OK_CONDITIONAL,0.7706743917309807,704.510475988166,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.1712645997811994,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,3799.8365183337196,OK_CONDITIONAL,0.7365755502421284,758.9673036667439,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.07405635314649968,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,3320.1536424676683,OK_CONDITIONAL,0.5415453071910282,663.0307284935336,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.11845747407074725,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,2704.5198238067082,OK_CONDITIONAL,0.7149463241087347,539.9039647613416,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.06909593221828282,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,3038.3080928791437,OK_CONDITIONAL,0.5782915075464823,606.6616185758287,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.17528873940295686,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,3500.818145427238,OK_CONDITIONAL,0.6894430338402097,699.1636290854476,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.06987153005441465,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,2599.3644319916507,OK_CONDITIONAL,0.6251035258092734,518.8728863983301,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.06946625162967954,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,3594.273853422297,OK_CONDITIONAL,0.5885651365758938,717.8547706844595,2.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.0710885310615568,1.0001803830790537,2.0,True,
synthetic,P,CAL,,W1,na,nan,BOUNDARY_SOLUTION,nan,nan,2.0,False,
synthetic,B,CAL,,W1,na,10.44790835877656,OK_CONDITIONAL,0.1297670246743108,0.044790835877656046,1.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.462710200506804,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,553.3406645997202,9.019153952678493e-05,1.0,True,
synthetic,B,CAL,,W1,na,9.783625049216987,OK_CONDITIONAL,0.04400124093066732,0.021637495078301327,1.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.4577572484781822,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,553.1358354534573,9.019153952678493e-05,1.0,True,
synthetic,B,CAL,,W1,na,10.369384996587089,OK_CONDITIONAL,0.12003707706811725,0.03693849965870886,1.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.4620862812561985,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,553.3189842334687,9.019153952678493e-05,1.0,True,
synthetic,B,CAL,,W1,na,10.7277790084142,OK_CONDITIONAL,0.1620688169636219,0.07277790084142008,1.0,True,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.46393936181614087,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,553.3806429027102,9.019153952678493e-05,1.0,True,
synthetic,B,CAL,,W1,na,3448.9513530082368,OK_CONDITIONAL,0.5223634759768858,343.89513530082365,1.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.4601175215884178,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.059087837482604974,9.019153952678493e-05,1.0,True,
synthetic,B,CAL,,W1,na,2806.5519074845483,OK_CONDITIONAL,0.9206656009489191,279.65519074845486,1.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.4637373081237328,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.07166479063539691,9.019153952678493e-05,1.0,True,
synthetic,B,CAL,,W1,na,1795.4455687539403,OK_CONDITIONAL,0.8529436040762869,178.54455687539402,1.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.4601971103518671,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.06354982213596708,9.019153952678493e-05,1.0,True,
synthetic,B,CAL,,W1,na,2025.943619751886,OK_CONDITIONAL,0.8715409485661911,201.5943619751886,1.0,False,
synthetic,F,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.4597060602098342,9.019153952678493e-05,1.0,True,
synthetic,P,CAL,,W1,na,10.000901915395268,OK_CONDITIONAL,0.06201977441300192,9.019153952678493e-05,1.0,True,
