file,material,angle_deg,data_row_1based,reason,sigma_cm_inv,R_percent
附件1.xlsx,SiC,10,1,FIRST_ROW_ZERO,399.6747,0.0
附件2.xlsx,SiC,15,1,FIRST_ROW_ZERO,399.6747,0.0
附件2.xlsx,SiC,15,834,R_GT_100,801.278,100.2210701
附件2.xlsx,SiC,15,835,R_GT_100,801.76,100.5514397
附件2.xlsx,SiC,15,836,R_GT_100,802.2422,100.8119658
附件2.xlsx,SiC,15,837,R_GT_100,802.7242,101.029481
附件2.xlsx,SiC,15,838,R_GT_100,803.2064,101.1935566
附件2.xlsx,SiC,15,839,R_GT_100,803.6885,101.3311622
附件2.xlsx,SiC,15,840,R_GT_100,804.1707,101.4411049
附件2.xlsx,SiC,15,841,R_GT_100,804.6527,101.5307995
附件2.xlsx,SiC,15,842,R_GT_100,805.1349,101.6155518
附件2.xlsx,SiC,15,843,R_GT_100,805.6169,101.6616755
附件2.xlsx,SiC,15,844,R_GT_100,806.0991,101.7668845
附件2.xlsx,SiC,15,845,R_GT_100,806.5812,101.8131753
附件2.xlsx,SiC,15,846,R_GT_100,807.0634,101.8345506
附件2.xlsx,SiC,15,847,R_GT_100,807.5454,101.8804942
附件2.xlsx,SiC,15,848,R_GT_100,808.0276,101.9382973
附件2.xlsx,SiC,15,849,R_GT_100,808.5096,101.9693877
附件2.xlsx,SiC,15,850,R_GT_100,808.9918,102.0129645
附件2.xlsx,SiC,15,851,R_GT_100,809.4739,102.0827286
附件2.xlsx,SiC,15,852,R_GT_100,809.9561,102.1129038
附件2.xlsx,SiC,15,853,R_GT_100,810.4381,102.1427075
附件2.xlsx,SiC,15,854,R_GT_100,810.9203,102.1892925
附件2.xlsx,SiC,15,855,R_GT_100,811.4023,102.235774
附件2.xlsx,SiC,15,856,R_GT_100,811.8845,102.2618493
附件2.xlsx,SiC,15,857,R_GT_100,812.3666,102.2960981
附件2.xlsx,SiC,15,858,R_GT_100,812.8488,102.3126604
附件2.xlsx,SiC,15,859,R_GT_100,813.3308,102.336637
附件2.xlsx,SiC,15,860,R_GT_100,813.813,102.345406
附件2.xlsx,SiC,15,861,R_GT_100,814.295,102.3621051
附件2.xlsx,SiC,15,862,R_GT_100,814.7772,102.3795074
附件2.xlsx,SiC,15,863,R_GT_100,815.2593,102.3826323
附件2.xlsx,SiC,15,864,R_GT_100,815.7415,102.4160634
附件2.xlsx,SiC,15,865,R_GT_100,816.2235,102.4260135
附件2.xlsx,SiC,15,866,R_GT_100,816.7057,102.4267845
附件2.xlsx,SiC,15,867,R_GT_100,817.1877,102.4483204
附件2.xlsx,SiC,15,868,R_GT_100,817.6699,102.431023
附件2.xlsx,SiC,15,869,R_GT_100,818.152,102.4677633
附件2.xlsx,SiC,15,870,R_GT_100,818.6342,102.4631796
附件2.xlsx,SiC,15,871,R_GT_100,819.1162,102.4828347
附件2.xlsx,SiC,15,872,R_GT_100,819.5984,102.4927996
附件2.xlsx,SiC,15,873,R_GT_100,820.0804,102.4896563
附件2.xlsx,SiC,15,874,R_GT_100,820.5626,102.5051847
附件2.xlsx,SiC,15,875,R_GT_100,821.0447,102.5086224
附件2.xlsx,SiC,15,876,R_GT_100,821.5269,102.5198431
附件2.xlsx,SiC,15,877,R_GT_100,822.0089,102.5384764
附件2.xlsx,SiC,15,878,R_GT_100,822.4911,102.5730943
附件2.xlsx,SiC,15,879,R_GT_100,822.9731,102.566056
附件2.xlsx,SiC,15,880,R_GT_100,823.4553,102.5824267
附件2.xlsx,SiC,15,881,R_GT_100,823.9374,102.6116388
附件2.xlsx,SiC,15,882,R_GT_100,824.4196,102.6251439
附件2.xlsx,SiC,15,883,R_GT_100,824.9016,102.6390067
附件2.xlsx,SiC,15,884,R_GT_100,825.3838,102.6535604
附件2.xlsx,SiC,15,885,R_GT_100,825.8658,102.6519755
附件2.xlsx,SiC,15,886,R_GT_100,826.348,102.672697
附件2.xlsx,SiC,15,887,R_GT_100,826.8301,102.682131
附件2.xlsx,SiC,15,888,R_GT_100,827.3123,102.6984172
附件2.xlsx,SiC,15,889,R_GT_100,827.7943,102.6904694
附件2.xlsx,SiC,15,890,R_GT_100,828.2765,102.7147599
附件2.xlsx,SiC,15,891,R_GT_100,828.7585,102.7113124
附件2.xlsx,SiC,15,892,R_GT_100,829.2407,102.7079554
附件2.xlsx,SiC,15,893,R_GT_100,829.7228,102.7393552
附件2.xlsx,SiC,15,894,R_GT_100,830.205,102.7197714
附件2.xlsx,SiC,15,895,R_GT_100,830.687,102.7214959
附件2.xlsx,SiC,15,896,R_GT_100,831.1692,102.7140446
附件2.xlsx,SiC,15,897,R_GT_100,831.6512,102.7229786
附件2.xlsx,SiC,15,898,R_GT_100,832.1334,102.7197958
附件2.xlsx,SiC,15,899,R_GT_100,832.6155,102.726924
附件2.xlsx,SiC,15,900,R_GT_100,833.0977,102.6965123
附件2.xlsx,SiC,15,901,R_GT_100,833.5797,102.6926578
附件2.xlsx,SiC,15,902,R_GT_100,834.0619,102.6903122
附件2.xlsx,SiC,15,903,R_GT_100,834.5439,102.6662576
附件2.xlsx,SiC,15,904,R_GT_100,835.0261,102.6676736
附件2.xlsx,SiC,15,905,R_GT_100,835.5082,102.6404801
附件2.xlsx,SiC,15,906,R_GT_100,835.9904,102.6056643
附件2.xlsx,SiC,15,907,R_GT_100,836.4724,102.5923301
附件2.xlsx,SiC,15,908,R_GT_100,836.9546,102.5763119
附件2.xlsx,SiC,15,909,R_GT_100,837.4366,102.5511296
附件2.xlsx,SiC,15,910,R_GT_100,837.9188,102.5440507
附件2.xlsx,SiC,15,911,R_GT_100,838.4009,102.5354133
附件2.xlsx,SiC,15,912,R_GT_100,838.8831,102.5199808
附件2.xlsx,SiC,15,913,R_GT_100,839.3651,102.4931721
附件2.xlsx,SiC,15,914,R_GT_100,839.8473,102.4999874
附件2.xlsx,SiC,15,915,R_GT_100,840.3293,102.502292
附件2.xlsx,SiC,15,916,R_GT_100,840.8115,102.5165465
附件2.xlsx,SiC,15,917,R_GT_100,841.2936,102.5054474
附件2.xlsx,SiC,15,918,R_GT_100,841.7758,102.529346
附件2.xlsx,SiC,15,919,R_GT_100,842.2578,102.5434619
附件2.xlsx,SiC,15,920,R_GT_100,842.74,102.5508448
附件2.xlsx,SiC,15,921,R_GT_100,843.222,102.5648925
附件2.xlsx,SiC,15,922,R_GT_100,843.7042,102.5515574
附件2.xlsx,SiC,15,923,R_GT_100,844.1863,102.5866837
附件2.xlsx,SiC,15,924,R_GT_100,844.6685,102.5829825
附件2.xlsx,SiC,15,925,R_GT_100,845.1505,102.5963474
附件2.xlsx,SiC,15,926,R_GT_100,845.6327,102.6021626
附件2.xlsx,SiC,15,927,R_GT_100,846.1147,102.614342
附件2.xlsx,SiC,15,928,R_GT_100,846.5969,102.5938066
附件2.xlsx,SiC,15,929,R_GT_100,847.079,102.5790456
附件2.xlsx,SiC,15,930,R_GT_100,847.5612,102.5826257
附件2.xlsx,SiC,15,931,R_GT_100,848.0432,102.576267
附件2.xlsx,SiC,15,932,R_GT_100,848.5254,102.5885147
附件2.xlsx,SiC,15,933,R_GT_100,849.0074,102.5946132
附件2.xlsx,SiC,15,934,R_GT_100,849.4896,102.5599059
附件2.xlsx,SiC,15,935,R_GT_100,849.9717,102.5912448
附件2.xlsx,SiC,15,936,R_GT_100,850.4539,102.5687939
附件2.xlsx,SiC,15,937,R_GT_100,850.9359,102.5939628
附件2.xlsx,SiC,15,938,R_GT_100,851.4181,102.5736641
附件2.xlsx,SiC,15,939,R_GT_100,851.9001,102.5717811
附件2.xlsx,SiC,15,940,R_GT_100,852.3823,102.568921
附件2.xlsx,SiC,15,941,R_GT_100,852.8644,102.5829972
附件2.xlsx,SiC,15,942,R_GT_100,853.3466,102.5649611
附件2.xlsx,SiC,15,943,R_GT_100,853.8286,102.5427932
附件2.xlsx,SiC,15,944,R_GT_100,854.3108,102.5638014
附件2.xlsx,SiC,15,945,R_GT_100,854.7928,102.5558235
附件2.xlsx,SiC,15,946,R_GT_100,855.275,102.5561616
附件2.xlsx,SiC,15,947,R_GT_100,855.7571,102.5415628
附件2.xlsx,SiC,15,948,R_GT_100,856.2393,102.5465728
附件2.xlsx,SiC,15,949,R_GT_100,856.7213,102.5306449
附件2.xlsx,SiC,15,950,R_GT_100,857.2035,102.5617652
附件2.xlsx,SiC,15,951,R_GT_100,857.6855,102.5523716
