material,angle_deg,window,mask,q_um,conditional_thickness_formula,valid_domain,reproducible_grid_rule,local_log_sensitivity_per_radian,note
SiC,10,W1,raw,10.000901915395268,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,10,W1,reasoned,10.000901915395268,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,10,W2,raw,20.83352227669277,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,10,W2,reasoned,20.83352227669277,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,10,W3,raw,20.00179782681621,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,10,W3,reasoned,20.00179782681621,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,15,W1,raw,10.000901915395268,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,15,W1,reasoned,10.0002043531535,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,15,W2,raw,20.83352227669277,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,15,W2,reasoned,20.83352227669277,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,15,W3,raw,20.00179782681621,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,15,W3,reasoned,20.00179782681621,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,10,W1,raw,15.001352873092902,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,10,W1,reasoned,15.001352873092902,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,10,W2,raw,12.500113366015661,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,10,W2,reasoned,12.500113366015661,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,10,W3,raw,10.000898913408106,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,10,W3,reasoned,10.000898913408106,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,15,W1,raw,15.001352873092902,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,15,W1,reasoned,15.001352873092902,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,15,W2,raw,12.500113366015661,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,15,W2,reasoned,12.500113366015661,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,15,W3,raw,10.000898913408106,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
Si,15,W3,reasoned,10.000898913408106,d_um(n)=q_um/sqrt(n^2-sin(theta0)^2),n>sin(theta0); no numeric n bounds approved,"once [n_min,n_max] is team-approved, evaluate 101 inclusive equally spaced n values without selection",,
SiC,10,W1,raw,10.000901915395268,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,10,W1,reasoned,10.000901915395268,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,10,W2,raw,20.83352227669277,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,10,W2,reasoned,20.83352227669277,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,10,W3,raw,20.00179782681621,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,10,W3,reasoned,20.00179782681621,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,15,W1,raw,10.000901915395268,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,15,W1,reasoned,10.0002043531535,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,15,W2,raw,20.83352227669277,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,15,W2,reasoned,20.83352227669277,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,15,W3,raw,20.00179782681621,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
SiC,15,W3,reasoned,20.00179782681621,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,10,W1,raw,15.001352873092902,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,10,W1,reasoned,15.001352873092902,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,10,W2,raw,12.500113366015661,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,10,W2,reasoned,12.500113366015661,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,10,W3,raw,10.000898913408106,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,10,W3,reasoned,10.000898913408106,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,15,W1,raw,15.001352873092902,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,15,W1,reasoned,15.001352873092902,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,15,W2,raw,12.500113366015661,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,15,W2,reasoned,12.500113366015661,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,15,W3,raw,10.000898913408106,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
Si,15,W3,reasoned,10.000898913408106,"d_um(n,theta)=q_um/sqrt(n^2-sin(theta)^2)",,,sin(theta)*cos(theta)/(n^2-sin(theta)^2),angle-error magnitude was not supplied or approved; no arbitrary numeric bound introduced
