attachment,material,angle_deg,sigma_cm_inv,R_percent
附件1,SiC,10,399.6747,0.0
附件1,SiC,10,400.1569,31.29322924
附件1,SiC,10,400.639,30.60428036
附件1,SiC,10,401.1211,29.99740213
附件1,SiC,10,401.6032,29.41479736
附件1,SiC,10,402.0853,28.94739201
附件1,SiC,10,402.5674,28.56453144
附件1,SiC,10,403.0496,28.2573198
附件1,SiC,10,403.5317,28.05093833
附件1,SiC,10,404.0138,27.90966164
附件1,SiC,10,404.4959,27.82480345
附件1,SiC,10,404.978,27.78869601
附件1,SiC,10,405.4601,27.74284411
附件1,SiC,10,405.9423,27.68946917
附件1,SiC,10,406.4244,27.64880272
附件1,SiC,10,406.9065,27.57350092
附件1,SiC,10,407.3886,27.46281947
附件1,SiC,10,407.8707,27.32350287
附件1,SiC,10,408.3528,27.16558967
附件1,SiC,10,408.835,26.96203377
附件1,SiC,10,409.3171,26.75746501
附件1,SiC,10,409.7992,26.55659144
附件1,SiC,10,410.2813,26.34868225
附件1,SiC,10,410.7634,26.15934145
附件1,SiC,10,411.2455,25.98917694
附件1,SiC,10,411.7277,25.87290542
附件1,SiC,10,412.2098,25.75938539
附件1,SiC,10,412.6919,25.66319507
附件1,SiC,10,413.174,25.58149735
附件1,SiC,10,413.6561,25.50335926
附件1,SiC,10,414.1382,25.44107855
附件1,SiC,10,414.6204,25.36119756
附件1,SiC,10,415.1025,25.29448267
附件1,SiC,10,415.5846,25.21075153
附件1,SiC,10,416.0667,25.11148993
附件1,SiC,10,416.5488,25.03173113
附件1,SiC,10,417.0309,24.94140096
附件1,SiC,10,417.5131,24.84870137
附件1,SiC,10,417.9952,24.69277285
附件1,SiC,10,418.4773,24.54579513
附件1,SiC,10,418.9594,24.38142989
附件1,SiC,10,419.4415,24.21197493
附件1,SiC,10,419.9236,24.00941826
附件1,SiC,10,420.4058,23.80009017
附件1,SiC,10,420.8879,23.6189511
附件1,SiC,10,421.37,23.49288698
附件1,SiC,10,421.8521,23.34657157
附件1,SiC,10,422.3342,23.22467277
附件1,SiC,10,422.8163,23.09734402
附件1,SiC,10,423.2985,23.01884255
附件1,SiC,10,423.7806,22.94231686
附件1,SiC,10,424.2627,22.84953106
附件1,SiC,10,424.7448,22.78374032
附件1,SiC,10,425.2269,22.67189469
附件1,SiC,10,425.709,22.54578594
附件1,SiC,10,426.1912,22.42440825
附件1,SiC,10,426.6733,22.26251503
附件1,SiC,10,427.1554,22.09267052
附件1,SiC,10,427.6375,21.93917553
附件1,SiC,10,428.1196,21.75771149
附件1,SiC,10,428.6017,21.60910213
附件1,SiC,10,429.0839,21.50269677
附件1,SiC,10,429.566,21.40676551
附件1,SiC,10,430.0481,21.35422517
附件1,SiC,10,430.5302,21.31739042
附件1,SiC,10,431.0123,21.34405988
附件1,SiC,10,431.4944,21.38174306
附件1,SiC,10,431.9766,21.40786454
附件1,SiC,10,432.4587,21.44584033
附件1,SiC,10,432.9408,21.48172944
附件1,SiC,10,433.4229,21.53046816
附件1,SiC,10,433.905,21.52677967
附件1,SiC,10,434.3871,21.55708849
附件1,SiC,10,434.8693,21.53982975
附件1,SiC,10,435.3514,21.55679824
附件1,SiC,10,435.8335,21.56905725
附件1,SiC,10,436.3156,21.6141601
附件1,SiC,10,436.7977,21.6589213
附件1,SiC,10,437.2798,21.686167
附件1,SiC,10,437.762,21.76839724
附件1,SiC,10,438.2441,21.83056602
附件1,SiC,10,438.7262,21.89113876
附件1,SiC,10,439.2083,21.91440597
附件1,SiC,10,439.6904,21.96243985
附件1,SiC,10,440.1725,22.0040586
附件1,SiC,10,440.6547,22.02830379
附件1,SiC,10,441.1368,22.03980202
附件1,SiC,10,441.6189,22.06057177
附件1,SiC,10,442.101,22.06578232
附件1,SiC,10,442.5831,22.06116882
附件1,SiC,10,443.0652,22.05897062
附件1,SiC,10,443.5474,22.0487407
附件1,SiC,10,444.0295,22.02120874
附件1,SiC,10,444.5116,22.00560852
附件1,SiC,10,444.9937,21.98129789
附件1,SiC,10,445.4758,21.94634631
附件1,SiC,10,445.9579,21.91431156
附件1,SiC,10,446.4401,21.88792464
附件1,SiC,10,446.9222,21.9241542
附件1,SiC,10,447.4043,21.92451305
附件1,SiC,10,447.8864,21.98205069
附件1,SiC,10,448.3685,22.03394131
附件1,SiC,10,448.8506,22.12338674
附件1,SiC,10,449.3328,22.1877341
附件1,SiC,10,449.8149,22.25941744
附件1,SiC,10,450.297,22.31854802
附件1,SiC,10,450.7791,22.37232357
附件1,SiC,10,451.2612,22.41034886
附件1,SiC,10,451.7433,22.4499247
附件1,SiC,10,452.2255,22.49140608
附件1,SiC,10,452.7076,22.52703527
附件1,SiC,10,453.1897,22.56306543
附件1,SiC,10,453.6718,22.63823228
附件1,SiC,10,454.1539,22.70976972
附件1,SiC,10,454.636,22.78716187
附件1,SiC,10,455.1182,22.88030173
附件1,SiC,10,455.6003,22.96297452
附件1,SiC,10,456.0824,23.07443409
附件1,SiC,10,456.5645,23.17802091
附件1,SiC,10,457.0466,23.301421
附件1,SiC,10,457.5287,23.44166048
附件1,SiC,10,458.0109,23.52461294
附件1,SiC,10,458.493,23.66463496
附件1,SiC,10,458.9751,23.74896675
附件1,SiC,10,459.4572,23.84846475
附件1,SiC,10,459.9393,23.92153558
附件1,SiC,10,460.4214,24.00226899
附件1,SiC,10,460.9036,24.09185226
附件1,SiC,10,461.3857,24.16049252
附件1,SiC,10,461.8678,24.25072314
附件1,SiC,10,462.3499,24.34605281
附件1,SiC,10,462.832,24.43325774
附件1,SiC,10,463.3141,24.55202139
附件1,SiC,10,463.7963,24.67268218
附件1,SiC,10,464.2784,24.82054004
附件1,SiC,10,464.7605,24.9305005
附件1,SiC,10,465.2426,25.06777384
附件1,SiC,10,465.7247,25.193963
附件1,SiC,10,466.2068,25.31404853
附件1,SiC,10,466.689,25.43543332
附件1,SiC,10,467.1711,25.54522593
附件1,SiC,10,467.6532,25.63652599
附件1,SiC,10,468.1353,25.75485379
附件1,SiC,10,468.6174,25.86638308
附件1,SiC,10,469.0995,26.01243156
附件1,SiC,10,469.5817,26.13698602
附件1,SiC,10,470.0638,26.30515625
附件1,SiC,10,470.5459,26.45504523
附件1,SiC,10,471.028,26.58988702
附件1,SiC,10,471.5101,26.75911615
附件1,SiC,10,471.9922,26.91065431
附件1,SiC,10,472.4744,27.06406404
附件1,SiC,10,472.9565,27.19049583
附件1,SiC,10,473.4386,27.3236483
附件1,SiC,10,473.9207,27.42144208
附件1,SiC,10,474.4028,27.51622097
附件1,SiC,10,474.8849,27.58226972
附件1,SiC,10,475.3671,27.66198083
附件1,SiC,10,475.8492,27.73782324
附件1,SiC,10,476.3313,27.81777232
附件1,SiC,10,476.8134,27.90497277
附件1,SiC,10,477.2955,28.02072604
附件1,SiC,10,477.7776,28.13350763
附件1,SiC,10,478.2598,28.24813284
附件1,SiC,10,478.7419,28.38186707
附件1,SiC,10,479.224,28.48408904
附件1,SiC,10,479.7061,28.60815187
附件1,SiC,10,480.1882,28.708525
附件1,SiC,10,480.6703,28.8465051
附件1,SiC,10,481.1525,28.94205054
附件1,SiC,10,481.6346,29.03730755
附件1,SiC,10,482.1167,29.16479206
附件1,SiC,10,482.5988,29.2736056
附件1,SiC,10,483.0809,29.39234234
附件1,SiC,10,483.563,29.46688137
附件1,SiC,10,484.0452,29.61964056
附件1,SiC,10,484.5273,29.7091208
附件1,SiC,10,485.0094,29.83003503
附件1,SiC,10,485.4915,29.94165658
附件1,SiC,10,485.9736,30.08578658
附件1,SiC,10,486.4557,30.13187541
附件1,SiC,10,486.9379,30.26316858
附件1,SiC,10,487.42,30.35820593
附件1,SiC,10,487.9021,30.44323758
附件1,SiC,10,488.3842,30.52418144
附件1,SiC,10,488.8663,30.62573641
附件1,SiC,10,489.3484,30.6978835
附件1,SiC,10,489.8306,30.81413314
附件1,SiC,10,490.3127,30.92720895
附件1,SiC,10,490.7948,31.02293807
附件1,SiC,10,491.2769,31.13553298
附件1,SiC,10,491.759,31.23486491
附件1,SiC,10,492.2411,31.29738688
附件1,SiC,10,492.7233,31.4156533
附件1,SiC,10,493.2054,31.48830935
附件1,SiC,10,493.6875,31.55382161
附件1,SiC,10,494.1696,31.63616693
附件1,SiC,10,494.6517,31.71314974
附件1,SiC,10,495.1339,31.77897441
附件1,SiC,10,495.616,31.86235383
附件1,SiC,10,496.0981,31.9644002
