material,angle_deg,file,window,window_low_cm_inv,window_high_cm_inv,mask,model,n_points,q_um,status,ambiguity,cycles,peak_width_per_cm_inv,q_bin_resolution_um,grid_step_cm_inv,nfft,rmse,residual_lag1,boundary_hit,runtime_s
SiC,10,附件1.xlsx,W1,600.0,1600.0,raw,B,2074,8.195042176815143,OK_CONDITIONAL,0.3126874648158277,1.6380704308354703,,,,,,,,0.00014089999604038894
SiC,10,附件1.xlsx,W1,600.0,1600.0,raw,F,2074,10.000901915395268,OK_CONDITIONAL,0.26147365937631517,1.9990356798458173,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00016219998360611498
SiC,10,附件1.xlsx,W1,600.0,1600.0,raw,P,2074,8.56077203957835,OK_CONDITIONAL,,,,,,,16.629400654336017,0.9997882934674432,False,0.02244790000258945
SiC,10,附件1.xlsx,W1,600.0,1600.0,reasoned,B,2074,8.195042176815143,OK_CONDITIONAL,0.3126874648158277,1.6380704308354703,,,,,,,,0.00014719998580403626
SiC,10,附件1.xlsx,W1,600.0,1600.0,reasoned,F,2074,10.000901915395268,OK_CONDITIONAL,0.26147365937631517,1.9990356798458173,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00015770000754855573
SiC,10,附件1.xlsx,W1,600.0,1600.0,reasoned,P,2074,8.56077203957835,OK_CONDITIONAL,,,,,,,16.629400654336017,0.9997882934674432,False,0.024550700007239357
SiC,10,附件1.xlsx,W2,1600.0,2800.0,raw,B,2489,21.49639198162506,OK_CONDITIONAL,0.07943370639866387,5.157014531340627,,,,,,,,0.0002651000104378909
SiC,10,附件1.xlsx,W2,1600.0,2800.0,raw,F,2489,20.83352227669277,OK_CONDITIONAL,0.024116836668927655,4.997991161109782,0.0016666817821354217,4.168379175778049,0.48211696141470384,2489,,,,0.0002769000129774213
SiC,10,附件1.xlsx,W2,1600.0,2800.0,raw,P,2489,19.958514341071673,OK_CONDITIONAL,,,,,,,0.1983421832991185,0.9974267056135979,False,0.028879000019514933
SiC,10,附件1.xlsx,W2,1600.0,2800.0,reasoned,B,2489,21.49639198162506,OK_CONDITIONAL,0.07943370639866387,5.157014531340627,,,,,,,,0.00017529999604448676
SiC,10,附件1.xlsx,W2,1600.0,2800.0,reasoned,F,2489,20.83352227669277,OK_CONDITIONAL,0.024116836668927655,4.997991161109782,0.0016666817821354217,4.168379175778049,0.48211696141470384,2489,,,,0.00020410001161508262
SiC,10,附件1.xlsx,W2,1600.0,2800.0,reasoned,P,2489,19.958514341071673,OK_CONDITIONAL,,,,,,,0.1983421832991185,0.9974267056135979,False,0.02588050000485964
SiC,10,附件1.xlsx,W3,2800.0,3800.0,raw,B,2074,1446.3793102420968,OK_CONDITIONAL,0.9411006710111567,289.11039625532766,,,,,,,,0.00016339999274350703
SiC,10,附件1.xlsx,W3,2800.0,3800.0,raw,F,2074,20.00179782681621,OK_CONDITIONAL,0.01745549220003621,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.0001750000228639692
SiC,10,附件1.xlsx,W3,2800.0,3800.0,raw,P,2074,19.761776252894418,OK_CONDITIONAL,,,,,,,0.04484563667890286,0.9483889293537592,False,0.02504199999384582
SiC,10,附件1.xlsx,W3,2800.0,3800.0,reasoned,B,2074,1446.3793102420968,OK_CONDITIONAL,0.9411006710111567,289.11039625532766,,,,,,,,0.0001821999903768301
SiC,10,附件1.xlsx,W3,2800.0,3800.0,reasoned,F,2074,20.00179782681621,OK_CONDITIONAL,0.01745549220003621,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.0001829999964684248
SiC,10,附件1.xlsx,W3,2800.0,3800.0,reasoned,P,2074,19.761776252894418,OK_CONDITIONAL,,,,,,,0.04484563667890286,0.9483889293537592,False,0.022495800018077716
SiC,15,附件2.xlsx,W1,600.0,1600.0,raw,B,2074,8.171142985271366,OK_CONDITIONAL,0.3122672987282532,1.6332933280281792,,,,,,,,0.00014930000179447234
SiC,15,附件2.xlsx,W1,600.0,1600.0,raw,F,2074,10.000901915395268,OK_CONDITIONAL,0.25526406989704636,1.9990356798458173,0.0020001803830790536,5.002863138574206,0.48211659430774034,2074,,,,0.00018430000636726618
SiC,15,附件2.xlsx,W1,600.0,1600.0,raw,P,2074,8.56077203957835,OK_CONDITIONAL,,,,,,,17.67174049324094,0.9998331260266303,False,0.022295700007816777
SiC,15,附件2.xlsx,W1,600.0,1600.0,reasoned,B,1812,8.016579374682749,OK_CONDITIONAL,0.1811819468906044,1.6023982972613235,,,,,,,,0.00013830000534653664
SiC,15,附件2.xlsx,W1,600.0,1600.0,reasoned,F,1812,10.0002043531535,OK_CONDITIONAL,0.26558944282191294,1.9988962472404377,0.0020000408706306997,5.002863138574206,0.5518651021535561,1812,,,,0.00017630000365898013
SiC,15,附件2.xlsx,W1,600.0,1600.0,reasoned,P,1812,8.140166343466948,OK_CONDITIONAL,,,,,,,14.341832007786083,0.9995840510356464,False,0.020082600007299334
SiC,15,附件2.xlsx,W2,1600.0,2800.0,raw,B,2489,2918.3298517536928,OK_CONDITIONAL,0.8464453569534008,700.1114170975035,,,,,,,,0.0001787999935913831
SiC,15,附件2.xlsx,W2,1600.0,2800.0,raw,F,2489,20.83352227669277,OK_CONDITIONAL,0.06397416845582068,4.997991161109782,0.0025000226732031323,4.168379175778049,0.48211696141470384,2489,,,,0.00020360000780783594
SiC,15,附件2.xlsx,W2,1600.0,2800.0,raw,P,2489,19.833513207411514,OK_CONDITIONAL,,,,,,,0.196578835291481,0.9971958911328033,False,0.025612099998397753
SiC,15,附件2.xlsx,W2,1600.0,2800.0,reasoned,B,2489,2918.3298517536928,OK_CONDITIONAL,0.8464453569534008,700.1114170975035,,,,,,,,0.00015639999764971435
SiC,15,附件2.xlsx,W2,1600.0,2800.0,reasoned,F,2489,20.83352227669277,OK_CONDITIONAL,0.06397416845582068,4.997991161109782,0.0025000226732031323,4.168379175778049,0.48211696141470384,2489,,,,0.00019829999655485153
SiC,15,附件2.xlsx,W2,1600.0,2800.0,reasoned,P,2489,19.833513207411514,OK_CONDITIONAL,,,,,,,0.196578835291481,0.9971958911328033,False,0.026035199989564717
SiC,15,附件2.xlsx,W3,2800.0,3800.0,raw,B,2074,1114.747147921053,OK_CONDITIONAL,0.9696966441501329,222.82190251048843,,,,,,,,0.00013899998157285154
SiC,15,附件2.xlsx,W3,2800.0,3800.0,raw,F,2074,20.00179782681621,OK_CONDITIONAL,0.022232149883282554,3.9980713596918545,0.0020001797826816217,5.002861636856283,0.4821167390255141,2074,,,,0.00016250001499429345
SiC,15,附件2.xlsx,W3,2800.0,3800.0,raw,P,2074,19.4917519822324,OK_CONDITIONAL,,,,,,,0.05355889218877312,0.9600591801744424,False,0.022603100020205602
